text,href,absolute_url,domain
list,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,en.wikipedia.org
Bengali Hindus,https://en.wikipedia.org/wiki/Bengali_Hindus,https://en.wikipedia.org/wiki/Bengali_Hindus,en.wikipedia.org
Punjabi Hindus,https://en.wikipedia.org/wiki/Punjabi_Hindus,https://en.wikipedia.org/wiki/Punjabi_Hindus,en.wikipedia.org
Kashmiri Hindus,https://en.wikipedia.org/wiki/Kashmiri_Hindus,https://en.wikipedia.org/wiki/Kashmiri_Hindus,en.wikipedia.org
Hindu-Muslim tribes,https://en.wikipedia.org/wiki/Kashmiri_Muslim_tribes_from_Hindu_lineage,https://en.wikipedia.org/wiki/Kashmiri_Muslim_tribes_from_Hindu_lineage,en.wikipedia.org
Tamil Hindus,https://en.wikipedia.org/wiki/Tamil_Hindus,https://en.wikipedia.org/wiki/Tamil_Hindus,en.wikipedia.org
Marathi Hindus,https://en.wikipedia.org/wiki/Hinduism_in_Maharashtra,https://en.wikipedia.org/wiki/Hinduism_in_Maharashtra,en.wikipedia.org
South Indian Hindus,https://en.wikipedia.org/wiki/Hinduism_in_South_India,https://en.wikipedia.org/wiki/Hinduism_in_South_India,en.wikipedia.org
Nepali Hindus,https://en.wikipedia.org/wiki/Hinduism_in_Nepal,https://en.wikipedia.org/wiki/Hinduism_in_Nepal,en.wikipedia.org
Assamese-Bengali Hindus,https://en.wikipedia.org/wiki/Bengali_Hindus_in_Assam,https://en.wikipedia.org/wiki/Bengali_Hindus_in_Assam,en.wikipedia.org
Hussaini Brahmin,https://en.wikipedia.org/wiki/Hussaini_Brahmin,https://en.wikipedia.org/wiki/Hussaini_Brahmin,en.wikipedia.org
Sindhi Hindus,https://en.wikipedia.org/wiki/Sindhi_Hindus,https://en.wikipedia.org/wiki/Sindhi_Hindus,en.wikipedia.org
Hindu nationalism,https://en.wikipedia.org/wiki/Hindu_nationalism,https://en.wikipedia.org/wiki/Hindu_nationalism,en.wikipedia.org
Hindutva,https://en.wikipedia.org/wiki/Hindutva,https://en.wikipedia.org/wiki/Hindutva,en.wikipedia.org
District wise population,https://en.wikipedia.org/wiki/Hindus_by_district_in_India,https://en.wikipedia.org/wiki/Hindus_by_district_in_India,en.wikipedia.org
v,https://en.wikipedia.org/wiki/Template:Hinduism_in_India,https://en.wikipedia.org/wiki/Template:Hinduism_in_India,en.wikipedia.org
t,https://en.wikipedia.org/wiki/Template_talk:Hinduism_in_India,https://en.wikipedia.org/wiki/Template_talk:Hinduism_in_India,en.wikipedia.org
e,https://en.wikipedia.org/wiki/Special:EditPage/Template:Hinduism_in_India,https://en.wikipedia.org/wiki/Special:EditPage/Template:Hinduism_in_India,en.wikipedia.org
Hindu temples,https://en.wikipedia.org/wiki/Hindu_temple,https://en.wikipedia.org/wiki/Hindu_temple,en.wikipedia.org
India,https://en.wikipedia.org/wiki/India,https://en.wikipedia.org/wiki/India,en.wikipedia.org
state,https://en.wikipedia.org/wiki/States_and_territories_of_India,https://en.wikipedia.org/wiki/States_and_territories_of_India,en.wikipedia.org
Tirumala Tirupati Devasthanams,https://en.wikipedia.org/wiki/Tirumala_Tirupati_Devasthanams,https://en.wikipedia.org/wiki/Tirumala_Tirupati_Devasthanams,en.wikipedia.org
Lord Venkateswara Swamy temple,"https://en.wikipedia.org/wiki/Venkateswara_Temple,_Tirumala","https://en.wikipedia.org/wiki/Venkateswara_Temple,_Tirumala",en.wikipedia.org
Tirupati,https://en.wikipedia.org/wiki/Tirupati_district,https://en.wikipedia.org/wiki/Tirupati_district,en.wikipedia.org
union territory,https://en.wikipedia.org/wiki/Union_territory,https://en.wikipedia.org/wiki/Union_territory,en.wikipedia.org
Andhra Pradesh,https://en.wikipedia.org/wiki/Andhra_Pradesh,https://en.wikipedia.org/wiki/Andhra_Pradesh,en.wikipedia.org
Tamil Nadu,https://en.wikipedia.org/wiki/Tamil_Nadu,https://en.wikipedia.org/wiki/Tamil_Nadu,en.wikipedia.org
Telangana,https://en.wikipedia.org/wiki/Telangana,https://en.wikipedia.org/wiki/Telangana,en.wikipedia.org
Jammu,https://en.wikipedia.org/wiki/Jammu,https://en.wikipedia.org/wiki/Jammu,en.wikipedia.org
[1],#cite_note-1,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#cite_note-1,en.wikipedia.org
edit,/w/index.php?title=List_of_Hindu_temples_in_India&action=edit&section=1,https://en.wikipedia.org/w/index.php?title=List_of_Hindu_temples_in_India&action=edit&section=1,en.wikipedia.org
,https://en.wikipedia.org/wiki/File:Tirumala_Venkateswara_temple_entrance_09062015.JPG,https://en.wikipedia.org/wiki/File:Tirumala_Venkateswara_temple_entrance_09062015.JPG,en.wikipedia.org
Venkateswara Temple,https://en.wikipedia.org/wiki/Venkateswara_Temple,https://en.wikipedia.org/wiki/Venkateswara_Temple,en.wikipedia.org
,https://en.wikipedia.org/wiki/File:Simhachalam-temple-2_big.jpg,https://en.wikipedia.org/wiki/File:Simhachalam-temple-2_big.jpg,en.wikipedia.org
Simhachalam Temple,https://en.wikipedia.org/wiki/Simhachalam_Temple,https://en.wikipedia.org/wiki/Simhachalam_Temple,en.wikipedia.org
,https://en.wikipedia.org/wiki/File:Kanakadurga_Temple_gopuram.jpg,https://en.wikipedia.org/wiki/File:Kanakadurga_Temple_gopuram.jpg,en.wikipedia.org
Kanaka Durga Temple,https://en.wikipedia.org/wiki/Kanaka_Durga_Temple,https://en.wikipedia.org/wiki/Kanaka_Durga_Temple,en.wikipedia.org
,https://en.wikipedia.org/wiki/File:Srisailam.jpg,https://en.wikipedia.org/wiki/File:Srisailam.jpg,en.wikipedia.org
Srisailam Temple,"https://en.wikipedia.org/wiki/Mallikarjuna_Temple,_Srisailam","https://en.wikipedia.org/wiki/Mallikarjuna_Temple,_Srisailam",en.wikipedia.org
Ahobilam,https://en.wikipedia.org/wiki/Ahobilam,https://en.wikipedia.org/wiki/Ahobilam,en.wikipedia.org
Alipiri,https://en.wikipedia.org/wiki/Alipiri,https://en.wikipedia.org/wiki/Alipiri,en.wikipedia.org
Amararama,https://en.wikipedia.org/wiki/Amararama,https://en.wikipedia.org/wiki/Amararama,en.wikipedia.org
Arasavalli Sun Temple,https://en.wikipedia.org/wiki/Arasavalli_Sun_Temple,https://en.wikipedia.org/wiki/Arasavalli_Sun_Temple,en.wikipedia.org
"Bhavanarayana Temple, Sarpavaram","https://en.wikipedia.org/wiki/Bhavanarayana_Temple,_Sarpavaram","https://en.wikipedia.org/wiki/Bhavanarayana_Temple,_Sarpavaram",en.wikipedia.org
