page_url,image_url
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Birla_Temple_in_Jaipur.jpg/250px-Birla_Temple_in_Jaipur.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Govind_dev_ji.jpg/250px-Govind_dev_ji.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Madanmohan-ji.jpg/250px-Madanmohan-ji.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Mamallapuram_%28167%29.jpg/250px-Mamallapuram_%28167%29.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Varagunamangai2.jpg/250px-Varagunamangai2.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Kamakshi_Amman_Temple_Night.jpg/250px-Kamakshi_Amman_Temple_Night.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Thirunagai8.JPG/250px-Thirunagai8.JPG?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Gangaikonda_Gopuram_5-10a.jpg/250px-Gangaikonda_Gopuram_5-10a.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/PERUR_PATTEESHWARAR_TEMPLE.jpg/250px-PERUR_PATTEESHWARAR_TEMPLE.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Ramappa_Temple_Warangal.JPG/250px-Ramappa_Temple_Warangal.JPG?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Bhadrachalam_temple_View_from_Lord_Narasimha_Temple.JPG/250px-Bhadrachalam_temple_View_from_Lord_Narasimha_Temple.JPG?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/1000_pillar_temple_HNK.jpg/250px-1000_pillar_temple_HNK.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Ram_Janmbhoomi_Mandir%2C_Ayodhya_Dham.jpg/250px-Ram_Janmbhoomi_Mandir%2C_Ayodhya_Dham.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Ganga_Dwar%2C_Gateway_of_Corridor_of_Kashi_Vishwanath_Temple%2C_Varanasi.webp/250px-Ganga_Dwar%2C_Gateway_of_Corridor_of_Kashi_Vishwanath_Temple%2C_Varanasi.webp.png?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/PremMandirSideViewFromCanteen.jpg/250px-PremMandirSideViewFromCanteen.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Yamunotri_temple_and_ashram.jpg/250px-Yamunotri_temple_and_ashram.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Gangotri_%28ganga_river%29.jpg/250px-Gangotri_%28ganga_river%29.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Kedarnath_Temple.jpg/250px-Kedarnath_Temple.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Badrinath_Temple_%2C_Uttarakhand.jpg/250px-Badrinath_Temple_%2C_Uttarakhand.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Kedarnath_Temple.jpg/250px-Kedarnath_Temple.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Image_ank.JPG/250px-Image_ank.JPG?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Chandroday_mandir_uc_side_view.jpg/250px-Chandroday_mandir_uc_side_view.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Dakhineshwar_Temple_beside_the_Hoogly%2C_West_Bengal.JPG/250px-Dakhineshwar_Temple_beside_the_Hoogly%2C_West_Bengal.JPG?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Babataraknathtemple.jpg/250px-Babataraknathtemple.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Commons-logo.svg/40px-Commons-logo.svg.png?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/Symbol_category_class.svg/20px-Symbol_category_class.svg.png?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/Symbol_portal_class.svg/20px-Symbol_portal_class.svg.png?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/DAB_list_gray.svg/40px-DAB_list_gray.svg.png?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://en.wikipedia.org/wiki/Special:CentralAutoLogin/start?useformat=desktop&type=1x1&usesul3=1
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://en.wikipedia.org/static/images/footer/wikimedia.svg
https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,https://en.wikipedia.org/w/resources/assets/mediawiki_compact.svg
